AircraftType,NameofJet,ManufacturerofJet,YearofManufacture,MaxSpeed,RangeinMiles,MaxAltitude,Weapons,CrewSize,Cost,CountryofOrigin,EngineType,Length(ft),Wingspan,CombatRange,ServiceCeiling,Introduced,RadarType,RadarRange,StealthTechnology,EjectionSystem,AvionicsSystem,Armament,MaximumGForce,FuelCapacity,BattlesWon,FuelType,Generation
Fighter,Lockheed,Lockheed Martin Corporation,2005,1500,1200,50000,"Missiles, Guns",1,100,USA,Turbofan,50,35,500,60000,2006,AESA,200,Yes,Martin-Baker,AN/APG-81,"Air-to-Air, Air-to-Ground",9,7000,15,Jet Fuel,5
Fighter,Sukhoi, Sukhoi,2010,1700,1300,55000,"Missiles, Guns",1,110,Russia,Turbojet,55,42,600,65000,2011,PESA,180,Yes,K-36,N050,"Air-to-Air, Air-to-Ground",9.5,8000,12,Jet Fuel,4.5
Fighter,Dassault, Dassault Aviation,2012,1600,1400,60000,"Missiles, Guns, Bombs",2,120,France,Turbofan,52,37,550,70000,2013,AESA,190,Yes,ACES II,Thales RBE2 AESA,"Air-to-Air, Air-to-Ground",9.2,6500,10,Jet Fuel,4.5
Fighter,Boeing,Boeing,2008,1550,1250,52000,"Missiles, Guns",1,95,USA,Turbofan,49,36,480,58000,2009,AESA,210,Yes,ACES II,AN/APG-79,"Air-to-Air, Air-to-Ground",8.8,7200,8,Jet Fuel,4.5
Fighter,Eurofighter,Eurofighter Jagdflugzeug GmbH,2015,1800,1350,58000,"Missiles, Guns",1,130,Germany,Turbojet,53,39,620,66000,2016,AESA,220,Yes,Martin-Baker,CAPTOR-E AESA,"Air-to-Air, Air-to-Ground",9.7,7800,6,Jet Fuel,4.5
Fighter,Rafale, Dassault Aviation,2004,1550,1350,50000,"Missiles, Bombs",2,110,France,Turbofan,51,35,550,55000,2005,AESA,200,Yes,Martin-Baker,AN/APG-81,"Air-to-Air, Air-to-Ground",9,7000,10,Jet Fuel,4.5
Fighter,F-22 Raptor, Lockheed Martin,2006,1700,1850,65000,"Missiles, Guns",1,150,USA,Turbofan,62,44,700,70000,2007,AESA,210,Yes,K-36,N050,"Air-to-Air, Air-to-Ground",9.5,8000,8,Jet Fuel,5
Fighter,J-20,Chengdu,2011,1700,1200,58000,"Missiles, Guns",1,120,China,Turbofan,54,41,650,66000,2012,PESA,220,Yes,ACES II,Thales RBE2 AESA,"Air-to-Air, Air-to-Ground",9.2,6500,7,Jet Fuel,5
Fighter,Gripen,Saab,2008,1400,1100,50000,"Missiles, Guns",1,80,Sweden,Turbofan,46,30,450,55000,2009,AESA,190,Yes,ACES II,AN/APG-79,"Air-to-Air, Air-to-Ground",9.5,7200,6,Jet Fuel,4.5
Fighter,MiG-29,Mikoyan,1982,1450,900,59000,"Missiles, Guns",1,40,Russia,Turbojet,51,36,480,58000,1983,PESA,180,No,Martin-Baker,CAPTOR-E AESA,"Air-to-Air, Air-to-Ground",8.8,6000,3,Jet Fuel,4
Fighter,F-15 Eagle,McDonnell Douglas,1976,1875,3450,65000,"Missiles, Guns",1,100,USA,Turbofan,63,42,800,70000,1977,AESA,210,Yes,K-36,AN/APG-81,"Air-to-Air, Air-to-Ground",9,7500,5,Jet Fuel,4
Fighter,Mirage 2000,Dassault Aviation,1984,1452,1300,55775,"Missiles, Guns",1,45,France,Turbojet,51,27,520,59000,1985,PESA,180,No,Martin-Baker,RBE2 AESA,"Air-to-Air, Air-to-Ground",8.8,6800,3,Jet Fuel,4
Fighter,F-111 Aardvark,General Dynamics,1964,2655,2500,66000,"Missiles, Bombs",2,75,USA,Turbofan,73,63,800,68000,1965,AESA,220,No,ACES II,AN/APG-79,"Air-to-Air, Air-to-Ground",8.5,9000,1,Jet Fuel,3
Fighter,Su-27,Sukhoi,1985,1553,1850,66000,"Missiles, Guns",1,60,Russia,Turbofan,72,48,680,67000,1986,PESA,190,No,K-36,N050,"Air-to-Air, Air-to-Ground",8.9,8500,2,Jet Fuel,4
